timestamp,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_ax,adxl_ay,adxl_az,l3gd_gx,l3gd_gy,l3gd_gz,lsm_ax,lsm_ay,lsm_az,joy_lx,joy_ly,joy_lb,joy_rx,joy_ry,joy_rb
158148,-6.946,-6.364,2.318,-0.180,0.047,-0.015,1.961,2.040,2.118,-0.046,-0.007,0.012,-14017,-7320,4292,1179,1008,1,201,150,1
161183,-6.960,-6.364,2.248,-0.181,0.047,-0.015,1.961,2.040,2.118,-0.048,-0.005,0.014,-14033,-7248,4182,413,0,1,0,0,1
164218,-6.879,-6.440,2.203,-0.189,0.050,-0.015,1.961,2.040,2.118,-0.046,-0.004,0.014,-14038,-7272,4227,1420,1210,1,370,246,1
167253,-6.922,-6.352,2.291,-0.177,0.051,-0.015,1.961,2.040,2.118,-0.043,-0.005,0.011,-14027,-7263,4262,325,79,1,0,0,1
170288,-6.912,-6.381,2.337,-0.183,0.043,-0.016,1.961,2.040,2.118,-0.044,-0.005,0.013,-14027,-7289,4264,1070,752,1,193,80,1
173323,-6.926,-6.400,2.296,-0.181,0.046,-0.015,1.961,2.040,2.118,-0.046,-0.006,0.014,-14033,-7283,4299,1167,993,1,198,151,1
176358,-6.888,-6.369,2.387,-0.178,0.047,-0.015,1.961,2.040,2.118,-0.046,-0.006,0.012,-13970,-7337,4327,326,0,1,0,0,1
179393,-7.010,-6.390,2.265,-0.186,0.046,-0.014,1.961,2.040,2.118,-0.048,-0.005,0.014,-13973,-7323,4257,1394,1175,1,357,224,1
182428,-6.953,-6.388,2.301,-0.177,0.046,-0.016,1.961,2.040,2.118,-0.047,-0.005,0.014,-14069,-7240,4271,581,367,1,0,0,1
185463,-6.883,-6.402,2.248,-0.187,0.049,-0.013,1.961,2.040,2.118,-0.048,-0.004,0.014,-14027,-7283,4243,763,415,1,17,0,1
188498,-6.881,-6.462,2.349,-0.181,0.047,-0.016,1.961,2.040,2.118,-0.048,-0.008,0.011,-14008,-7315,4277,1397,1229,1,333,231,1
191533,-6.924,-6.309,2.337,-0.179,0.047,-0.013,1.961,2.040,2.118,-0.049,-0.006,0.009,-14022,-7298,4282,292,15,1,0,0,1
194568,-6.924,-6.402,2.322,-0.181,0.045,-0.013,1.961,2.040,2.118,-0.046,-0.007,0.013,-14066,-7257,4185,1099,795,1,210,95,1
197603,-6.881,-6.364,2.375,-0.185,0.049,-0.012,1.961,2.040,2.118,-0.041,-0.005,0.012,-14001,-7275,4299,1206,1053,1,221,166,1
200638,-6.833,-6.390,2.298,-0.171,0.046,-0.016,1.961,2.040,2.118,-0.049,-0.007,0.012,-14033,-7283,4232,262,0,1,0,0,1
203673,-6.855,-6.383,2.284,-0.183,0.045,-0.015,1.961,2.040,2.118,-0.046,-0.004,0.013,-14016,-7298,4275,1117,847,1,240,128,1
206708,-6.922,-6.345,2.243,-0.201,0.048,-0.012,1.961,2.040,2.118,-0.043,-0.005,0.013,-14072,-7199,4251,1174,1004,1,207,154,1
209743,-6.917,-6.491,2.217,-0.191,0.049,-0.011,1.961,2.040,2.118,-0.056,-0.007,0.013,-14094,-7340,3947,261,0,1,0,0,1
212778,-6.871,-6.373,2.291,-0.203,0.057,-0.006,1.961,2.040,2.118,-0.049,-0.005,0.014,-14018,-7392,4042,1216,939,1,277,150,1
215813,-6.859,-6.517,2.215,-0.182,0.048,-0.014,1.961,2.040,2.118,-0.048,-0.005,0.012,-14045,-7395,4030,1057,868,1,144,109,1
218848,-6.804,-6.462,2.282,-0.183,0.047,-0.016,1.961,2.040,2.118,-0.049,-0.007,0.011,-14048,-7386,4022,414,16,1,0,0,1
221883,-6.874,-6.404,2.435,-0.183,0.048,-0.017,1.961,2.040,2.118,-0.047,-0.006,0.013,-14015,-7401,4082,1414,1199,1,365,240,1
224918,-6.888,-6.397,2.358,-0.181,0.047,-0.014,1.961,2.040,2.118,-0.049,-0.007,0.012,-14025,-7438,4039,362,80,1,0,0,1
227953,-6.855,-6.436,2.346,-0.189,0.049,-0.017,1.961,2.040,2.118,-0.050,-0.003,0.012,-14048,-7394,4038,1110,805,1,220,102,1
230988,-6.780,-6.512,2.356,-0.181,0.049,-0.014,1.961,2.040,2.118,-0.047,-0.006,0.011,-14035,-7372,4033,1077,887,1,155,114,1
234023,-6.898,-6.495,2.236,-0.181,0.049,-0.013,1.961,2.040,2.118,-0.050,-0.006,0.014,-14012,-7389,4034,407,2,1,0,0,1
237058,-6.816,-6.483,2.349,-0.187,0.047,-0.014,1.961,2.040,2.118,-0.048,-0.005,0.014,-14024,-7374,4028,1376,1167,1,361,230,1
240093,-6.874,-6.500,2.351,-0.185,0.044,-0.014,1.961,2.040,2.118,-0.050,-0.004,0.013,-14024,-7396,4058,563,337,1,0,0,1
243128,-6.790,-6.481,2.342,-0.182,0.049,-0.016,1.961,2.040,2.118,-0.045,-0.005,0.012,-14026,-7426,4035,749,371,1,0,0,1
246163,-6.828,-6.462,2.318,-0.184,0.050,-0.015,1.961,2.040,2.118,-0.054,-0.006,0.011,-14029,-7412,4047,1402,1200,1,346,230,1
249198,-6.816,-6.460,2.337,-0.182,0.047,-0.015,1.961,2.040,2.118,-0.051,-0.004,0.012,-13957,-7501,4011,390,130,1,0,0,1
252233,-6.852,-6.464,2.416,-0.182,0.048,-0.016,1.961,2.040,2.118,-0.050,-0.005,0.013,-13960,-7477,4062,902,558,1,94,7,1
255268,-6.816,-6.426,2.325,-0.180,0.048,-0.013,1.961,2.040,2.118,-0.035,-0.004,0.014,-14004,-7431,4000,1360,1151,1,301,213,1
258303,-6.816,-6.474,2.318,-0.186,0.049,-0.015,1.961,2.040,2.118,-0.049,-0.004,0.012,-13997,-7442,4044,279,0,1,0,0,1
261338,-6.862,-6.462,2.411,-0.179,0.046,-0.014,1.961,2.040,2.118,-0.049,-0.005,0.011,-14022,-7376,4036,1210,908,1,272,154,1
264373,-6.843,-6.503,2.365,-0.181,0.043,-0.017,1.961,2.040,2.118,-0.051,-0.004,0.013,-13983,-7421,4054,926,746,1,93,79,1
267408,-6.776,-6.486,2.406,-0.186,0.050,-0.013,1.961,2.040,2.118,-0.050,-0.005,0.012,-14021,-7441,4061,592,190,1,0,0,1
270443,-6.802,-6.407,2.346,-0.184,0.046,-0.015,1.961,2.040,2.118,-0.054,-0.004,0.014,-14025,-7423,4078,1181,947,1,304,188,1
273478,-6.874,-6.457,2.361,-0.183,0.049,-0.014,1.961,2.040,2.118,-0.046,-0.004,0.009,-13964,-7434,4141,569,179,1,0,0,1
276513,-6.857,-6.378,2.368,-0.181,0.047,-0.015,1.961,2.040,2.118,-0.059,-0.006,0.015,-14028,-7341,4052,1183,800,1,210,80,1
279548,-6.847,-6.407,2.421,-0.183,0.050,-0.015,1.961,2.040,2.118,-0.065,-0.005,0.015,-14066,-7362,4027,1234,1063,1,243,176,1
282583,-6.802,-6.491,2.325,-0.180,0.050,-0.013,1.961,2.040,2.118,-0.068,-0.004,0.013,-14018,-7365,4055,287,0,1,0,0,1
285618,-6.816,-6.450,2.313,-0.183,0.049,-0.015,1.961,2.040,2.118,-0.067,-0.006,0.011,-14001,-7418,4058,1416,1200,1,397,243,1
288653,-6.850,-6.503,2.370,-0.178,0.047,-0.014,1.961,2.040,2.118,-0.067,-0.004,0.016,-14032,-7427,4020,636,423,1,0,0,1
291688,-6.847,-6.436,2.330,-0.183,0.047,-0.017,1.961,2.040,2.118,-0.065,-0.004,0.014,-13989,-7460,4037,784,416,1,17,0,1
294723,-6.859,-6.486,2.320,-0.177,0.045,-0.017,1.961,2.040,2.118,-0.063,-0.001,0.015,-14126,-7297,3981,1456,1275,1,385,265,1
297758,-6.756,-6.541,2.277,-0.182,0.049,-0.013,1.961,2.040,2.118,-0.065,-0.002,0.016,-14070,-7348,4050,355,91,1,0,0,1
300793,-6.819,-6.519,2.303,-0.184,0.044,-0.014,1.961,2.040,2.118,-0.062,-0.004,0.016,-14021,-7365,4056,875,560,1,101,16,1
